               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018524,           0.0079271,           0.0073055,             0.99865,              0.9998,               0.995,             0.93132,            0.012318,           0.0041156,           0.0034217,             0.00307,             0.00307,             0.00307
                  37,            0.018365,           0.0078823,           0.0071106,             0.99863,              0.9998,               0.995,             0.93258,            0.012248,           0.0040818,           0.0033473,            0.002872,            0.002872,            0.002872
                  38,            0.017961,            0.007707,           0.0068602,              0.9986,              0.9998,               0.995,              0.9341,            0.012149,           0.0040567,           0.0032792,            0.002674,            0.002674,            0.002674
                  39,             0.01758,           0.0076478,           0.0067033,             0.99857,              0.9998,               0.995,             0.93523,            0.012094,            0.004034,           0.0032134,            0.002476,            0.002476,            0.002476
                  40,            0.017349,           0.0074924,           0.0065269,              0.9986,              0.9998,               0.995,             0.93604,            0.012038,           0.0040127,           0.0031577,            0.002278,            0.002278,            0.002278
                  41,            0.016914,           0.0074563,            0.006333,             0.99861,             0.99977,               0.995,             0.93672,            0.011999,           0.0039906,           0.0031041,             0.00208,             0.00208,             0.00208
                  42,            0.016429,           0.0072542,           0.0061083,             0.99864,             0.99976,               0.995,             0.93723,            0.011961,           0.0039684,           0.0030515,            0.001882,            0.001882,            0.001882
                  43,            0.016154,           0.0072433,           0.0059462,             0.99864,             0.99977,               0.995,             0.93759,             0.01192,           0.0039516,           0.0029992,            0.001684,            0.001684,            0.001684
                  44,            0.015805,           0.0071058,           0.0058029,             0.99866,              0.9998,               0.995,             0.93831,            0.011873,           0.0039375,           0.0029504,            0.001486,            0.001486,            0.001486
                  45,            0.015399,           0.0070103,           0.0056559,             0.99865,             0.99982,               0.995,             0.93928,            0.011833,           0.0039239,           0.0029037,            0.001288,            0.001288,            0.001288
                  46,            0.014998,           0.0068813,           0.0054782,             0.99863,              0.9998,               0.995,             0.94024,            0.011812,           0.0039113,           0.0028567,             0.00109,             0.00109,             0.00109
                  47,            0.014683,           0.0067974,           0.0052867,             0.99862,              0.9998,               0.995,             0.94059,            0.011785,           0.0038963,           0.0028121,            0.000892,            0.000892,            0.000892
                  48,            0.014304,           0.0066632,           0.0051362,              0.9986,             0.99977,               0.995,             0.94063,            0.011768,           0.0038836,           0.0027707,            0.000694,            0.000694,            0.000694
                  49,            0.013988,           0.0065953,           0.0050704,             0.99861,             0.99975,               0.995,             0.94119,            0.011751,           0.0038746,           0.0027311,            0.000496,            0.000496,            0.000496
