               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064948,            0.023446,            0.095783,            0.013844,             0.99981,            0.023329,            0.015124,            0.033657,            0.010284,            0.093401,            0.070023,           0.0033308,           0.0033308
                   1,            0.036787,            0.015301,            0.093337,            0.017509,                   1,            0.023967,            0.018986,            0.023654,           0.0081617,            0.092626,            0.037823,            0.004465,            0.004465
                   2,            0.028689,            0.012903,            0.092935,            0.018317,                   1,            0.024791,            0.020618,            0.020221,           0.0071203,            0.092327,           0.0034243,           0.0033991,           0.0033991
